"Genotype","date","modality","no_visible_leaves_mean","no_foliar_primodium_mean","no_total_leaves_mean","no_open_flowers_mean","no_aborted_flowers_mean","no_closed_flowers_mean","no_total_flowers_mean","no_fruits_mean","no_stolons_mean","no_vegetative_bud_mean","no_initiated_bud_mean","no_floral_bud_mean","no_inflorescences_mean","no_branch_crown_mean","no_extension_crown_mean","no_ramifications_mean","order_max_mean","no_visible_leaves_sd","no_foliar_primodium_sd","no_total_leaves_sd","no_open_flowers_sd","no_aborted_flowers_sd","no_closed_flowers_sd","no_total_flowers_sd","no_fruits_sd","no_stolons_sd","no_vegetative_bud_sd","no_initiated_bud_sd","no_floral_bud_sd","no_inflorescences_sd","no_branch_crown_sd","no_extension_crown_sd","no_ramifications_sd","order_max_sd"
"Clery",2022-04-05,"A",23.3333333333333,3,26.3333333333333,0,0,0,29.6666666666667,26.1666666666667,0,17.1666666666667,0,0,6,2.33333333333333,4.83333333333333,7.16666666666667,3,8.66410218468519,2,10.5955965696447,0,0,0,16.0582273824562,12.7658398339736,0,7.57407860182786,0,0,1.4142135623731,1.50554530541816,1.94079021706795,3.12516666222246,0.632455532033676
"Darselect",2022-04-05,"A",20,1.4,21.4,0,0,0,33.8,32.2,0,12.8,0,0,6.6,2,5.6,7.6,3.6,6.2449979983984,2.07364413533277,6.94982014155762,0,0,0,8.75785361832453,8.87130204648675,0,5.21536192416212,0,0,1.94935886896179,1,1.51657508881031,2.07364413533277,0.547722557505166
"Dream",2022-04-19,"A",31.6,1.6,33.2,0,0,0,35.6,27.8,0,20.8,0,0,10.4,3,8.4,11.4,4.4,15.274161188098,1.14017542509914,15.7225952056268,0,0,0,11.2827301660547,8.1363382427232,0,9.57601169589929,0,0,4.61519230368573,1.58113883008419,4.03732584763727,5.41294744108974,1.14017542509914
"gariguette",2022-04-05,"A",26.1666666666667,1,27.1666666666667,0,0,0,43.5,20.6666666666667,0,19.8333333333333,0,0,5.83333333333333,2.66666666666667,3.5,6.16666666666667,2.5,8.86378399255457,2,9.86745492346768,0,0,0,14.7071411225976,18.5652004208591,0,7.25028735062733,0,0,2.13697605664328,1.63299316185545,1.6431676725155,2.78687399547713,0.547722557505166
"Leroy Ladurie",2022-04-19,"A",34.3333333333333,11.8333333333333,46.1666666666667,0,0,0,41.3333333333333,28.1666666666667,10.6666666666667,30.8333333333333,0,0,4.16666666666667,2.33333333333333,4.16666666666667,6.5,2.66666666666667,13.5302131049983,5.94698803316996,18.3457533687409,0,0,0,16.9430418363016,10.6097439491567,4.08248290463863,14.9454563887045,0,0,0.752772652709081,1.50554530541816,0.752772652709081,1.87082869338697,1.211060141639
"Magnum",2022-04-11,"A",28.1666666666667,4.16666666666667,32.3333333333333,0,0,0,29.6666666666667,24.6666666666667,0,23.1666666666667,0,0,6.33333333333333,3.66666666666667,4.5,8.16666666666667,2.33333333333333,7.13909424693824,3.60092580688171,10.5767039604343,0,0,0,9.85224170768596,6.25033332444492,0,9.28260021042955,0,0,0.816496580927726,1.36626010212795,1.22474487139159,1.72240142436851,0.516397779494322
"Manon",2022-04-05,"A",23.1666666666667,2.66666666666667,25.8333333333333,0,0,0,30.5,20.5,0,18.5,0,0,5.5,2.33333333333333,4.33333333333333,6.66666666666667,2.66666666666667,5.77638872191499,2.16024689946929,6.99761864255739,0,0,0,10.1734949746879,9.18150314491042,0,4.88876262463213,0,0,2.50998007960223,1.211060141639,1.75119007154183,2.94392028877595,1.211060141639
"Moutot",2022-04-19,"A",14.5,2.75,17.25,0,0,0,35.25,27,0,12.75,0,0,4.5,0.5,4.25,4.75,3.25,4.79583152331272,2.98607881119482,7.5,0,0,0,6.9462219947249,5.77350269189626,0,6.23832242407097,0,0,2.08166599946613,0.577350269189626,2.21735578260835,2.75378527364305,1.25830573921179
"Osiris",2022-04-11,"A",36.1666666666667,4,40.1666666666667,0,0,0,49.1666666666667,38,0,27.6666666666667,0,0,8.33333333333333,4.66666666666667,6.66666666666667,11.3333333333333,3,11.9902738361835,3.3466401061363,14.7433600873975,0,0,0,14.4556793913903,13.4461890511773,0,10.9117673484485,0,0,1.96638416050035,1.86189867250253,2.50333111406914,4.22689799577263,0.632455532033676
"Rubis",2022-04-19,"A",17.75,3,20.75,0,0,0,24,19.5,1,15.5,0,0,4,0.5,4,4.5,3.75,7.41057802513857,2.94392028877595,9.10585891976516,0,0,0,6.87992248018343,5.44671154612273,1.15470053837925,8.34665601703261,0,0,2.16024689946929,0.577350269189626,2.16024689946929,2.64575131106459,1.70782512765993
"Sanié",2022-04-19,"A",25.5,2.16666666666667,27.6666666666667,0,0,0,39.8333333333333,36.1666666666667,0,17.5,0,0,8.66666666666667,2,7.5,9.5,4.33333333333333,11.4498908291739,1.60208197875972,11.7926530800608,0,0,0,11.5484486692658,11.839200423452,0,7.39594483484024,0,0,3.61478445646026,1.4142135623731,2.94957624075052,4.27784992724149,1.36626010212795
"Sans rivale",2022-04-05,"A",47.6666666666667,4.33333333333333,52,0,0,0,105.333333333333,95.6666666666667,0,33.6666666666667,0,0,12,5.66666666666667,10.3333333333333,16,3.33333333333333,31.785741037977,4.50924975282289,36.0970912955601,0,0,0,55.770362499569,48.0867272054705,0,25.1462389500564,0,0,7,2.88675134594813,6.80685928555405,9.64365076099295,0.577350269189626
